The ability to account for medium layering, internal heating, and phase change due to moisture freezing and thawing is verified against a commercial software GeoStudio. For the verification, the effects of convection (natural and forced) and longwave radiations are neglected. This is the only difference with the presented thermal formulation. Eleven days of measured shortwave radiation serve for the heat flux imposed at the surface. Presented hereafter is the worst case in terms of absolute difference in temperature levels between GeoStudio and the thermal formulation. This case is presented in the form of a table essentially consisting of four columns: the time (in days), the surface temperature calculated with GeoStudio (in degrees Celsius), the surface temperature calculated with the thermal formulation (in degrees Celsius), and for each time step the absolute difference of temperature levels between Geostudio and the thermal formulation. 

Time [days]	Surface temperature with GeoStudio [°C]	Surface temperature with Fortran [°C]	Absolute difference [°C]
7.347	6.412	6.405	0.007
7.351	6.408	6.401	0.006
7.354	6.404	6.398	0.006
7.358	6.401	6.395	0.006
7.361	6.399	6.393	0.006
7.365	6.397	6.391	0.006
7.368	6.395	6.389	0.006
7.372	6.394	6.388	0.006
7.375	6.393	6.387	0.006
7.378	6.392	6.386	0.006
7.382	6.391	6.385	0.006
7.385	6.391	6.385	0.006
7.389	6.391	6.384	0.006
7.392	6.391	6.385	0.006
7.396	6.391	6.385	0.006
7.399	6.391	6.385	0.006
7.403	6.392	6.386	0.006
7.406	6.393	6.387	0.005
7.410	6.394	6.388	0.005
7.413	6.395	6.390	0.005
7.417	6.397	6.392	0.005
7.420	6.399	6.394	0.005
7.424	6.401	6.396	0.005
7.427	6.404	6.398	0.006
7.431	6.407	6.401	0.006
7.434	6.411	6.404	0.007
7.438	6.415	6.408	0.007
7.441	6.419	6.411	0.008
7.444	6.423	6.415	0.008
7.448	6.428	6.419	0.008
7.451	6.432	6.424	0.008
7.455	6.436	6.428	0.008
7.458	6.440	6.433	0.008
7.462	6.444	6.437	0.007
7.465	6.448	6.441	0.007
7.469	6.451	6.444	0.007
7.472	6.454	6.448	0.006
7.476	6.457	6.451	0.006
7.479	6.459	6.455	0.005
7.483	6.462	6.458	0.004
7.486	6.464	6.461	0.003
7.490	6.467	6.465	0.002
7.493	6.470	6.468	0.002
7.497	6.473	6.471	0.002
7.500	6.477	6.474	0.002
7.503	6.481	6.479	0.002
7.507	6.486	6.485	0.001
7.510	6.493	6.493	0.000
7.514	6.500	6.500	0.001
7.517	6.507	6.509	0.001
7.521	6.516	6.518	0.002
7.524	6.526	6.528	0.002
7.528	6.536	6.538	0.002
7.531	6.547	6.548	0.002
7.535	6.558	6.559	0.001
7.538	6.570	6.571	0.001
7.542	6.582	6.583	0.001
7.545	6.594	6.595	0.001
7.549	6.606	6.609	0.003
7.552	6.618	6.623	0.005
7.556	6.631	6.638	0.007
7.559	6.644	6.653	0.010
7.563	6.657	6.669	0.013
7.566	6.670	6.686	0.015
7.569	6.685	6.703	0.018
7.573	6.701	6.720	0.019
7.576	6.718	6.738	0.020
7.580	6.737	6.756	0.020
7.583	6.757	6.775	0.018
7.587	6.781	6.796	0.015
7.590	6.806	6.818	0.012
7.594	6.834	6.842	0.008
7.597	6.864	6.868	0.003
7.601	6.896	6.894	0.002
7.604	6.930	6.921	0.008
7.608	6.964	6.950	0.014
7.611	6.998	6.979	0.019
7.615	7.032	7.009	0.023
7.618	7.065	7.040	0.025
7.622	7.095	7.071	0.024
7.625	7.123	7.104	0.019
7.628	7.147	7.128	0.019
7.632	7.166	7.143	0.023
7.635	7.181	7.153	0.028
7.639	7.191	7.160	0.031
7.642	7.196	7.163	0.033
7.646	7.197	7.163	0.034
7.649	7.194	7.160	0.033
7.653	7.187	7.156	0.031
7.656	7.177	7.149	0.029
7.660	7.166	7.140	0.026
7.663	7.153	7.129	0.024
7.667	7.139	7.116	0.023
7.670	7.126	7.107	0.019
7.674	7.114	7.101	0.012
7.677	7.103	7.097	0.006
7.681	7.094	7.094	0.000
7.684	7.088	7.092	0.005
7.688	7.083	7.091	0.008
7.691	7.079	7.090	0.010
7.694	7.078	7.089	0.011
7.698	7.078	7.089	0.011
7.701	7.079	7.089	0.010
7.705	7.081	7.089	0.008
7.708	7.084	7.089	0.006
7.712	7.086	7.089	0.003
7.715	7.088	7.088	0.000
7.719	7.090	7.087	0.003
7.722	7.091	7.085	0.006
7.726	7.091	7.083	0.008
7.729	7.090	7.081	0.009
7.733	7.089	7.078	0.010
7.736	7.086	7.076	0.011
7.740	7.084	7.073	0.011
7.743	7.080	7.070	0.010
7.747	7.076	7.066	0.010
7.750	7.072	7.063	0.009
7.753	7.067	7.061	0.007
7.757	7.063	7.059	0.003
7.760	7.058	7.058	0.000
7.764	7.054	7.058	0.004
7.767	7.050	7.058	0.008
7.771	7.047	7.058	0.012
7.774	7.044	7.059	0.015
7.778	7.042	7.059	0.017
7.781	7.042	7.060	0.019
7.785	7.042	7.061	0.019
7.788	7.045	7.063	0.018
7.792	7.049	7.064	0.015
7.795	7.055	7.068	0.013
7.799	7.063	7.074	0.012
7.802	7.072	7.082	0.009
7.806	7.084	7.091	0.007
7.809	7.097	7.101	0.004
7.813	7.112	7.112	0.000
7.816	7.127	7.124	0.003
7.819	7.143	7.137	0.007
7.823	7.159	7.150	0.009
7.826	7.175	7.165	0.011
7.830	7.190	7.179	0.010
7.833	7.203	7.195	0.008
7.837	7.214	7.205	0.009
7.840	7.222	7.209	0.013
7.844	7.227	7.209	0.018
7.847	7.230	7.206	0.023
7.851	7.229	7.202	0.027
7.854	7.225	7.195	0.030
7.858	7.218	7.187	0.032
7.861	7.209	7.176	0.032
7.865	7.197	7.165	0.032
7.868	7.182	7.152	0.030
7.872	7.166	7.138	0.028
7.875	7.148	7.122	0.026
7.878	7.129	7.106	0.023
7.882	7.109	7.089	0.019
7.885	7.088	7.072	0.016
7.889	7.066	7.053	0.013
7.892	7.044	7.034	0.010
7.896	7.022	7.014	0.008
7.899	7.000	6.994	0.006
7.903	6.977	6.972	0.005
7.906	6.954	6.950	0.004
7.910	6.931	6.927	0.004
7.913	6.909	6.904	0.005
7.917	6.886	6.880	0.006
7.920	6.863	6.857	0.006
7.924	6.840	6.835	0.005
7.927	6.817	6.813	0.004
7.931	6.794	6.791	0.003
7.934	6.771	6.770	0.001
7.938	6.749	6.749	0.000
7.941	6.726	6.727	0.001
7.944	6.704	6.706	0.002
7.948	6.682	6.684	0.002
7.951	6.661	6.663	0.002
7.955	6.639	6.641	0.002
7.958	6.619	6.619	0.001
7.962	6.598	6.599	0.000
7.965	6.579	6.580	0.001
7.969	6.560	6.561	0.002
7.972	6.541	6.543	0.002
7.976	6.523	6.526	0.003
7.979	6.506	6.509	0.003
7.983	6.489	6.492	0.004
7.986	6.472	6.476	0.004
7.990	6.456	6.460	0.004
7.993	6.440	6.444	0.003
7.997	6.425	6.428	0.003
8.000	6.410	6.413	0.003
8.003	6.395	6.397	0.002
8.007	6.380	6.382	0.002
8.010	6.366	6.367	0.002
8.014	6.351	6.353	0.001
8.017	6.337	6.338	0.001
8.021	6.323	6.324	0.001
8.024	6.308	6.310	0.001
8.028	6.294	6.296	0.001
8.031	6.280	6.282	0.001
8.035	6.266	6.268	0.001
8.038	6.252	6.254	0.001
8.042	6.239	6.240	0.001
8.045	6.225	6.227	0.002
8.049	6.212	6.214	0.002
8.052	6.198	6.201	0.002
8.056	6.185	6.188	0.003
8.059	6.172	6.175	0.003
8.063	6.160	6.163	0.003
8.066	6.147	6.150	0.003
8.069	6.135	6.138	0.004
8.073	6.122	6.126	0.004
8.076	6.110	6.114	0.004
8.080	6.098	6.102	0.004
8.083	6.087	6.090	0.004
8.087	6.075	6.079	0.004
8.090	6.064	6.067	0.004
8.094	6.052	6.056	0.004
8.097	6.041	6.045	0.004
8.101	6.030	6.034	0.004
8.104	6.020	6.024	0.004
8.108	6.009	6.013	0.004
8.111	5.999	6.003	0.004
8.115	5.988	5.993	0.004
8.118	5.978	5.982	0.004
8.122	5.968	5.972	0.004
8.125	5.958	5.962	0.004
8.128	5.948	5.952	0.004
8.132	5.938	5.943	0.004
8.135	5.929	5.933	0.004
8.139	5.919	5.923	0.004
8.142	5.910	5.914	0.004
8.146	5.900	5.905	0.004
8.149	5.891	5.895	0.004
8.153	5.882	5.886	0.005
8.156	5.872	5.877	0.005
8.160	5.863	5.868	0.005
8.163	5.854	5.859	0.005
8.167	5.845	5.850	0.005
8.170	5.836	5.841	0.005
8.174	5.827	5.832	0.005
8.177	5.818	5.823	0.005
8.181	5.810	5.815	0.005
8.184	5.801	5.806	0.005
8.188	5.792	5.798	0.005
8.191	5.784	5.789	0.005
8.194	5.775	5.781	0.005
8.198	5.767	5.772	0.005
8.201	5.759	5.764	0.005
8.205	5.750	5.756	0.005
8.208	5.742	5.748	0.006
8.212	5.734	5.739	0.006
8.215	5.726	5.731	0.006
8.219	5.717	5.723	0.006
8.222	5.709	5.715	0.006
8.226	5.701	5.707	0.006
8.229	5.693	5.699	0.006
8.233	5.685	5.692	0.006
8.236	5.677	5.684	0.007
8.240	5.669	5.676	0.007
8.243	5.662	5.668	0.007
8.247	5.654	5.661	0.007
8.250	5.646	5.653	0.007
8.253	5.639	5.646	0.007
8.257	5.631	5.639	0.007
8.260	5.624	5.632	0.008
8.264	5.617	5.625	0.008
8.267	5.610	5.619	0.009
8.271	5.603	5.612	0.009
8.274	5.596	5.606	0.009
8.278	5.590	5.600	0.010
8.281	5.584	5.593	0.010
8.285	5.578	5.587	0.010
8.288	5.572	5.582	0.010
8.292	5.566	5.576	0.010
8.295	5.561	5.570	0.010
8.299	5.556	5.566	0.010
8.302	5.551	5.561	0.010
8.306	5.546	5.557	0.011
8.309	5.542	5.553	0.011
8.313	5.538	5.550	0.011
8.316	5.534	5.546	0.012
8.319	5.531	5.543	0.012
8.323	5.528	5.540	0.012
8.326	5.525	5.537	0.012
8.330	5.522	5.534	0.012
8.333	5.520	5.532	0.012
8.337	5.518	5.530	0.012
8.340	5.516	5.529	0.013
8.344	5.515	5.529	0.014
8.347	5.514	5.529	0.015
8.351	5.513	5.529	0.016
8.354	5.513	5.529	0.017
8.358	5.513	5.530	0.018
8.361	5.513	5.532	0.019
8.365	5.514	5.533	0.019
8.368	5.516	5.535	0.019
8.372	5.518	5.537	0.019
8.375	5.521	5.539	0.018
8.378	5.525	5.543	0.018
8.382	5.530	5.548	0.018
8.385	5.535	5.553	0.018
8.389	5.542	5.559	0.017
8.392	5.549	5.566	0.017
8.396	5.557	5.573	0.017
8.399	5.565	5.581	0.016
8.403	5.574	5.590	0.015
8.406	5.584	5.599	0.015
8.410	5.593	5.608	0.015
8.413	5.603	5.618	0.015
8.417	5.613	5.628	0.015
8.420	5.622	5.638	0.015
8.424	5.632	5.647	0.015
8.427	5.641	5.655	0.015
8.431	5.650	5.664	0.014
8.434	5.658	5.673	0.015
8.438	5.666	5.681	0.015
8.441	5.674	5.690	0.016
8.444	5.682	5.699	0.016
8.448	5.691	5.707	0.017
8.451	5.699	5.716	0.017
8.455	5.707	5.725	0.018
8.458	5.716	5.734	0.017
8.462	5.726	5.745	0.019
8.465	5.737	5.758	0.021
8.469	5.748	5.773	0.025
8.472	5.760	5.788	0.028
8.476	5.774	5.805	0.031
8.479	5.789	5.823	0.034
8.483	5.805	5.841	0.036
8.486	5.822	5.860	0.038
8.490	5.841	5.880	0.039
8.493	5.861	5.901	0.039
8.497	5.884	5.922	0.038
8.500	5.908	5.944	0.036
8.503	5.933	5.969	0.035
8.507	5.961	5.996	0.036
8.510	5.990	6.026	0.036
8.514	6.022	6.058	0.037
8.517	6.055	6.092	0.037
8.521	6.089	6.126	0.037
8.524	6.126	6.162	0.037
8.528	6.163	6.200	0.037
8.531	6.203	6.239	0.036
8.535	6.243	6.278	0.036
8.538	6.284	6.319	0.035
8.542	6.326	6.362	0.035
8.545	6.369	6.403	0.034
8.549	6.413	6.445	0.033
8.552	6.457	6.487	0.031
8.556	6.501	6.530	0.029
8.559	6.545	6.573	0.027
8.563	6.590	6.616	0.026
8.566	6.635	6.660	0.025
8.569	6.679	6.704	0.025
8.573	6.725	6.749	0.024
8.576	6.770	6.794	0.025
8.580	6.815	6.840	0.025
8.583	6.860	6.887	0.026
8.587	6.906	6.934	0.028
8.590	6.951	6.983	0.031
8.594	6.997	7.032	0.035
8.597	7.043	7.082	0.038
8.601	7.090	7.132	0.042
8.604	7.138	7.184	0.046
8.608	7.187	7.236	0.049
8.611	7.237	7.289	0.052
8.615	7.288	7.342	0.054
8.618	7.341	7.396	0.055
8.622	7.397	7.451	0.054
8.625	7.454	7.506	0.052
8.628	7.515	7.564	0.049
8.632	7.578	7.626	0.047
8.635	7.645	7.689	0.045
8.639	7.714	7.755	0.041
8.642	7.785	7.822	0.037
8.646	7.859	7.891	0.032
8.649	7.934	7.961	0.027
8.653	8.010	8.033	0.023
8.656	8.086	8.105	0.019
8.660	8.162	8.180	0.018
8.663	8.237	8.255	0.018
8.667	8.310	8.331	0.022
8.670	8.380	8.402	0.023
8.674	8.447	8.468	0.021
8.677	8.510	8.529	0.020
8.681	8.570	8.589	0.019
8.684	8.626	8.647	0.020
8.688	8.680	8.703	0.023
8.691	8.732	8.758	0.026
8.694	8.782	8.811	0.029
8.698	8.830	8.863	0.033
8.701	8.879	8.915	0.036
8.705	8.928	8.965	0.037
8.708	8.979	9.015	0.036
8.712	9.033	9.071	0.038
8.715	9.090	9.134	0.044
8.719	9.152	9.201	0.050
8.722	9.217	9.271	0.054
8.726	9.286	9.344	0.058
8.729	9.359	9.419	0.059
8.733	9.436	9.496	0.060
8.736	9.516	9.575	0.059
8.740	9.598	9.655	0.057
8.743	9.683	9.738	0.055
8.747	9.768	9.821	0.053
8.750	9.855	9.907	0.052
8.753	9.941	9.985	0.044
8.757	10.026	10.056	0.030
8.760	10.109	10.122	0.013
8.764	10.190	10.185	0.005
8.767	10.268	10.246	0.022
8.771	10.342	10.304	0.038
8.774	10.412	10.361	0.051
8.778	10.477	10.416	0.060
8.781	10.535	10.470	0.066
8.785	10.588	10.522	0.066
8.788	10.634	10.572	0.061
8.792	10.671	10.622	0.049
8.795	10.701	10.658	0.042
8.799	10.721	10.681	0.040
8.802	10.733	10.695	0.038
8.806	10.736	10.702	0.035
8.809	10.732	10.702	0.030
8.813	10.721	10.697	0.024
8.816	10.703	10.687	0.017
8.819	10.681	10.672	0.010
8.823	10.655	10.652	0.003
8.826	10.627	10.628	0.001
8.830	10.598	10.601	0.003
8.833	10.570	10.569	0.001
8.837	10.544	10.546	0.002
8.840	10.521	10.531	0.010
8.844	10.503	10.520	0.017
8.847	10.490	10.513	0.023
8.851	10.480	10.507	0.026
8.854	10.475	10.502	0.027
8.858	10.473	10.499	0.026
8.861	10.474	10.497	0.023
8.865	10.477	10.496	0.020
8.868	10.480	10.495	0.016
8.872	10.482	10.495	0.013
8.875	10.483	10.496	0.012
8.878	10.481	10.487	0.006
8.882	10.474	10.470	0.004
8.885	10.463	10.448	0.014
8.889	10.445	10.421	0.024
8.892	10.423	10.391	0.032
8.896	10.395	10.357	0.037
8.899	10.361	10.321	0.041
8.903	10.323	10.281	0.042
8.906	10.280	10.239	0.041
8.910	10.233	10.194	0.039
8.913	10.183	10.147	0.036
8.917	10.130	10.098	0.032
8.920	10.075	10.049	0.026
8.924	10.018	10.000	0.018
8.927	9.961	9.950	0.010
8.931	9.902	9.900	0.002
8.934	9.844	9.849	0.005
8.938	9.786	9.797	0.011
8.941	9.728	9.743	0.016
8.944	9.670	9.689	0.019
8.948	9.613	9.634	0.021
8.951	9.557	9.577	0.021
8.955	9.501	9.520	0.019
8.958	9.447	9.461	0.015
8.962	9.393	9.406	0.013
8.965	9.341	9.355	0.014
8.969	9.290	9.306	0.016
8.972	9.241	9.258	0.017
8.976	9.192	9.211	0.019
8.979	9.144	9.165	0.020
8.983	9.098	9.119	0.021
8.986	9.053	9.074	0.021
8.990	9.008	9.029	0.021
8.993	8.965	8.985	0.020
8.997	8.922	8.941	0.019
9.000	8.880	8.897	0.018
9.003	8.838	8.854	0.017
9.007	8.796	8.813	0.016
9.010	8.755	8.771	0.017
9.014	8.714	8.731	0.017
9.017	8.673	8.691	0.018
9.021	8.633	8.651	0.018
9.024	8.593	8.612	0.019
9.028	8.553	8.572	0.020
9.031	8.514	8.534	0.020
9.035	8.475	8.495	0.020
9.038	8.437	8.456	0.020
9.042	8.399	8.418	0.019
9.045	8.363	8.382	0.019
9.049	8.327	8.347	0.020
9.052	8.292	8.313	0.021
9.056	8.258	8.281	0.022
9.059	8.225	8.249	0.023
9.063	8.193	8.217	0.024
9.066	8.162	8.187	0.025
9.069	8.132	8.157	0.025
9.073	8.102	8.128	0.025
9.076	8.074	8.099	0.025
9.080	8.046	8.070	0.024
9.083	8.018	8.042	0.024
9.087	7.992	8.015	0.023
9.090	7.966	7.988	0.023
9.094	7.940	7.963	0.022
9.097	7.915	7.937	0.022
9.101	7.891	7.913	0.022
9.104	7.866	7.888	0.022
9.108	7.843	7.865	0.022
9.111	7.819	7.841	0.022
9.115	7.796	7.818	0.022
9.118	7.774	7.795	0.022
9.122	7.751	7.773	0.022
9.125	7.730	7.751	0.022
9.128	7.708	7.730	0.022
9.132	7.687	7.709	0.022
9.135	7.666	7.688	0.022
9.139	7.645	7.667	0.022
9.142	7.625	7.647	0.022
9.146	7.605	7.627	0.022
9.149	7.586	7.608	0.022
9.153	7.566	7.588	0.022
9.156	7.547	7.569	0.022
9.160	7.528	7.550	0.022
9.163	7.510	7.532	0.022
9.167	7.491	7.514	0.022
9.170	7.473	7.495	0.022
9.174	7.455	7.478	0.022
9.177	7.438	7.460	0.022
9.181	7.420	7.443	0.022
9.184	7.403	7.425	0.022
9.188	7.386	7.408	0.022
9.191	7.369	7.392	0.022
9.194	7.353	7.375	0.022
9.198	7.336	7.358	0.022
9.201	7.320	7.342	0.022
9.205	7.304	7.326	0.022
9.208	7.288	7.310	0.022
9.212	7.272	7.295	0.022
9.215	7.256	7.279	0.023
9.219	7.241	7.264	0.023
9.222	7.226	7.248	0.023
9.226	7.210	7.233	0.023
9.229	7.195	7.218	0.023
9.233	7.180	7.203	0.023
9.236	7.166	7.189	0.023
9.240	7.151	7.174	0.023
9.243	7.136	7.160	0.024
9.247	7.122	7.146	0.024
9.250	7.108	7.132	0.024
9.253	7.094	7.118	0.024
9.257	7.080	7.105	0.024
9.260	7.067	7.092	0.025
9.264	7.054	7.080	0.026
9.267	7.041	7.067	0.027
9.271	7.028	7.055	0.027
9.274	7.016	7.044	0.028
9.278	7.004	7.032	0.028
9.281	6.992	7.021	0.029
9.285	6.981	7.010	0.029
9.288	6.970	6.999	0.029
9.292	6.960	6.988	0.028
9.295	6.950	6.980	0.029
9.299	6.941	6.973	0.032
9.302	6.933	6.968	0.035
9.306	6.925	6.963	0.038
9.309	6.919	6.960	0.041
9.313	6.913	6.958	0.044
9.316	6.909	6.956	0.047
9.319	6.906	6.955	0.049
9.323	6.905	6.955	0.051
9.326	6.905	6.956	0.051
9.330	6.907	6.957	0.050
9.333	6.911	6.959	0.048
9.337	6.917	6.964	0.047
9.340	6.926	6.975	0.048
9.344	6.937	6.988	0.050
9.347	6.951	7.003	0.052
9.351	6.967	7.020	0.053
9.354	6.985	7.040	0.054
9.358	7.006	7.061	0.055
9.361	7.029	7.083	0.055
9.365	7.053	7.108	0.054
9.368	7.080	7.133	0.054
9.372	7.108	7.160	0.053
9.375	7.137	7.189	0.052
9.378	7.168	7.219	0.051
9.382	7.199	7.250	0.051
9.385	7.232	7.283	0.052
9.389	7.265	7.317	0.052
9.392	7.300	7.353	0.053
9.396	7.335	7.389	0.054
9.399	7.372	7.427	0.055
9.403	7.409	7.466	0.057
9.406	7.448	7.506	0.057
9.410	7.489	7.547	0.058
9.413	7.531	7.589	0.058
9.417	7.576	7.632	0.057
9.420	7.622	7.679	0.057
9.424	7.670	7.728	0.058
9.427	7.721	7.780	0.060
9.431	7.774	7.834	0.061
9.434	7.829	7.890	0.062
9.438	7.886	7.948	0.062
9.441	7.945	8.008	0.063
9.444	8.006	8.069	0.062
9.448	8.069	8.131	0.062
9.451	8.134	8.195	0.062
9.455	8.200	8.261	0.061
9.458	8.267	8.328	0.061
9.462	8.335	8.395	0.060
9.465	8.405	8.463	0.058
9.469	8.474	8.531	0.057
9.472	8.545	8.601	0.056
9.476	8.616	8.671	0.055
9.479	8.688	8.742	0.054
9.483	8.760	8.814	0.053
9.486	8.833	8.886	0.053
9.490	8.907	8.960	0.053
9.493	8.981	9.034	0.053
9.497	9.056	9.110	0.054
9.500	9.131	9.186	0.055
9.503	9.208	9.263	0.055
9.507	9.284	9.339	0.055
9.510	9.362	9.416	0.054
9.514	9.441	9.494	0.053
9.517	9.520	9.572	0.053
9.521	9.600	9.651	0.052
9.524	9.680	9.731	0.051
9.528	9.761	9.811	0.050
9.531	9.842	9.892	0.050
9.535	9.923	9.973	0.050
9.538	10.005	10.055	0.050
9.542	10.086	10.138	0.051
9.545	10.168	10.219	0.051
9.549	10.249	10.299	0.050
9.552	10.331	10.379	0.049
9.556	10.412	10.458	0.047
9.559	10.492	10.538	0.045
9.563	10.573	10.617	0.044
9.566	10.653	10.696	0.043
9.569	10.732	10.775	0.043
9.573	10.811	10.854	0.043
9.576	10.890	10.933	0.043
9.580	10.969	11.013	0.044
9.583	11.047	11.092	0.045
9.587	11.125	11.171	0.045
9.590	11.203	11.247	0.045
9.594	11.280	11.323	0.044
9.597	11.357	11.399	0.042
9.601	11.433	11.474	0.041
9.604	11.509	11.549	0.039
9.608	11.585	11.623	0.038
9.611	11.660	11.697	0.037
9.615	11.734	11.771	0.037
9.618	11.808	11.845	0.037
9.622	11.880	11.918	0.038
9.625	11.952	11.992	0.039
9.628	12.023	12.063	0.040
9.632	12.093	12.132	0.038
9.635	12.162	12.199	0.037
9.639	12.230	12.266	0.036
9.642	12.297	12.331	0.034
9.646	12.363	12.396	0.033
9.649	12.428	12.460	0.032
9.653	12.491	12.523	0.032
9.656	12.554	12.585	0.032
9.660	12.616	12.647	0.032
9.663	12.676	12.709	0.033
9.667	12.736	12.770	0.034
9.670	12.794	12.828	0.034
9.674	12.852	12.885	0.033
9.677	12.908	12.939	0.031
9.681	12.964	12.993	0.029
9.684	13.019	13.045	0.026
9.688	13.072	13.096	0.024
9.691	13.124	13.147	0.022
9.694	13.175	13.196	0.021
9.698	13.224	13.244	0.020
9.701	13.272	13.292	0.020
9.705	13.318	13.339	0.021
9.708	13.362	13.385	0.023
9.712	13.404	13.428	0.024
9.715	13.444	13.467	0.023
9.719	13.482	13.504	0.022
9.722	13.518	13.538	0.021
9.726	13.552	13.571	0.020
9.729	13.583	13.603	0.019
9.733	13.613	13.632	0.019
9.736	13.641	13.660	0.019
9.740	13.668	13.687	0.020
9.743	13.692	13.713	0.020
9.747	13.716	13.737	0.021
9.750	13.738	13.760	0.022
9.753	13.760	13.782	0.023
9.757	13.780	13.803	0.023
9.760	13.800	13.823	0.023
9.764	13.819	13.841	0.023
9.767	13.837	13.859	0.022
9.771	13.854	13.876	0.022
9.774	13.871	13.892	0.021
9.778	13.886	13.906	0.020
9.781	13.901	13.920	0.020
9.785	13.914	13.933	0.019
9.788	13.926	13.945	0.019
9.792	13.936	13.957	0.020
9.795	13.945	13.965	0.020
9.799	13.953	13.970	0.018
9.802	13.958	13.974	0.016
9.806	13.961	13.975	0.014
9.809	13.963	13.975	0.012
9.813	13.963	13.973	0.011
9.816	13.961	13.970	0.009
9.819	13.957	13.965	0.009
9.823	13.951	13.959	0.009
9.826	13.943	13.952	0.009
9.830	13.934	13.943	0.010
9.833	13.923	13.934	0.011
9.837	13.910	13.922	0.012
9.840	13.896	13.907	0.012
9.844	13.880	13.892	0.012
9.847	13.863	13.874	0.012
9.851	13.844	13.855	0.011
9.854	13.824	13.835	0.011
9.858	13.802	13.813	0.011
9.861	13.779	13.790	0.011
9.865	13.755	13.766	0.011
9.868	13.729	13.740	0.011
9.872	13.702	13.713	0.011
9.875	13.673	13.685	0.011
9.878	13.644	13.655	0.011
9.882	13.612	13.622	0.010
9.885	13.580	13.588	0.009
9.889	13.546	13.553	0.007
9.892	13.511	13.516	0.005
9.896	13.474	13.477	0.004
9.899	13.435	13.438	0.002
9.903	13.395	13.397	0.001
9.906	13.353	13.354	0.001
9.910	13.310	13.310	0.001
9.913	13.264	13.265	0.001
9.917	13.217	13.219	0.002
9.920	13.168	13.171	0.003
9.924	13.116	13.120	0.004
9.927	13.063	13.068	0.005
9.931	13.007	13.014	0.007
9.934	12.950	12.959	0.009
9.938	12.891	12.901	0.010
9.941	12.831	12.843	0.012
9.944	12.769	12.783	0.014
9.948	12.707	12.722	0.015
9.951	12.643	12.659	0.016
9.955	12.580	12.595	0.016
9.958	12.516	12.530	0.014
9.962	12.452	12.467	0.015
9.965	12.389	12.407	0.018
9.969	12.327	12.348	0.021
9.972	12.265	12.289	0.024
9.976	12.204	12.231	0.027
9.979	12.143	12.173	0.029
9.983	12.084	12.115	0.031
9.986	12.025	12.057	0.032
9.990	11.967	11.999	0.032
9.993	11.910	11.941	0.031
9.997	11.853	11.883	0.030
10.000	11.797	11.825	0.028
10.003	11.741	11.768	0.027
10.007	11.685	11.713	0.028
10.010	11.630	11.658	0.028
10.014	11.575	11.604	0.030
10.017	11.520	11.550	0.031
10.021	11.465	11.497	0.032
10.024	11.411	11.444	0.033
10.028	11.357	11.391	0.034
10.031	11.304	11.339	0.035
10.035	11.251	11.286	0.035
10.038	11.199	11.234	0.035
10.042	11.149	11.182	0.033
10.045	11.099	11.132	0.033
10.049	11.050	11.085	0.035
10.052	11.003	11.039	0.036
10.056	10.957	10.995	0.038
10.059	10.912	10.952	0.040
10.063	10.868	10.909	0.041
10.066	10.826	10.868	0.042
10.069	10.784	10.827	0.043
10.073	10.744	10.787	0.043
10.076	10.705	10.748	0.042
10.080	10.667	10.709	0.041
10.083	10.630	10.671	0.040
10.087	10.594	10.633	0.039
10.090	10.559	10.598	0.039
10.094	10.524	10.563	0.038
10.097	10.490	10.529	0.038
10.101	10.457	10.495	0.038
10.104	10.425	10.463	0.038
10.108	10.393	10.430	0.038
10.111	10.361	10.399	0.038
10.115	10.330	10.368	0.038
10.118	10.300	10.338	0.038
10.122	10.270	10.308	0.037
10.125	10.241	10.278	0.037
10.128	10.212	10.249	0.037
10.132	10.184	10.221	0.037
10.135	10.156	10.193	0.037
10.139	10.128	10.165	0.037
10.142	10.101	10.138	0.037
10.146	10.074	10.111	0.037
10.149	10.047	10.084	0.037
10.153	10.021	10.058	0.037
10.156	9.995	10.032	0.037
10.160	9.970	10.007	0.037
10.163	9.945	9.982	0.037
10.167	9.920	9.957	0.037
10.170	9.895	9.933	0.037
10.174	9.871	9.908	0.037
10.177	9.847	9.884	0.037
10.181	9.823	9.861	0.037
10.184	9.800	9.837	0.037
10.188	9.777	9.814	0.038
10.191	9.754	9.791	0.038
10.194	9.731	9.769	0.038
10.198	9.709	9.746	0.038
10.201	9.687	9.724	0.038
10.205	9.665	9.703	0.038
10.208	9.643	9.681	0.038
10.212	9.622	9.659	0.038
10.215	9.600	9.638	0.038
10.219	9.579	9.617	0.038
10.222	9.558	9.597	0.038
10.226	9.538	9.576	0.038
10.229	9.517	9.556	0.038
10.233	9.497	9.536	0.038
10.236	9.477	9.516	0.039
10.240	9.457	9.496	0.039
10.243	9.438	9.476	0.039
10.247	9.418	9.457	0.039
10.250	9.399	9.438	0.039
10.253	9.380	9.419	0.039
10.257	9.361	9.400	0.039
10.260	9.342	9.382	0.039
10.264	9.324	9.363	0.040
10.267	9.306	9.345	0.040
10.271	9.288	9.328	0.040
10.274	9.270	9.310	0.040
10.278	9.252	9.293	0.041
10.281	9.235	9.276	0.041
10.285	9.218	9.259	0.041
10.288	9.201	9.242	0.041
10.292	9.184	9.225	0.041
10.295	9.168	9.209	0.041
10.299	9.152	9.193	0.041
10.302	9.136	9.178	0.042
10.306	9.121	9.163	0.042
10.309	9.106	9.148	0.042
